# PING PONG measurements (in us) 
# Executed at: Wed Feb 02 15:15:47 2011
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
   112        100    222    116    735        100    121     16    482        100     18      3    151
   113        100    232    116    600        100    116     16    340        100     22      3    140
   114        100    225    116    697        100    118     16    338        100     21      3    154
   115        100    231    116    830        100    118     16    335        100     19      3    150
   116        100    235    116    681        100    120     16    365        100     23      3    323
   117        100    228    116    751        100    118     16    329        100     20      3    194
   118        100    232    116   1027        100    118     16    344        100     21      3    150
   119        100    225    116    824        100    124     16    406        100     18      3    225
   120        100    232    116    804        100    121     16    402        100     19      3    193
   121        100    225    116    730        100    127     16    712        100     20      3    149
   122        100    235    116    800        100    120     16    469        100     20      3    142
   123        100    267    116   1419        100    142     16   1018        100     28      3    885
   124        100    319    116   9838        100    217     16   9819        100     16      3    150
   125        100    247    116    776        100    124     16    406        100     24      3    294
   126        100    253    116   2424        100    143     16   2211        100     22      3    192
   127        100    232    116    772        100    122     16    560        100     23      3    240
   128        100    230    116    654        100    121     16    390        100     21      3    160
   129        100    239    116    686        100    127     16    658        100     23      3    296
   130        100    231    116    864        100    118     16    333        100     22      3    281
   131        100    229    116    681        100    117     16    329        100     22      3    149
   132        100    226    116    565        100    120     16    337        100     24      3    331
   133        100    232    116    582        100    121     16    488        100     22      3    153
   134        100    228    116    767        100    122     16    479        100     21      3    161
   135        100    233    116    718        100    121     16    482        100     22      3    171
   136        100    225    116    630        100    118     15    338        100     21      3    165
   137        100    232    116    629        100    117     16    329        100     24      3    292
   138        100    225    116    690        100    119     16    330        100     21      3    149
   139        100    233    116    752        100    121     16    373        100     21      3    291
   140        100    229    116    610        100    120     16    480        100     22      3    273
   141        100    217    116    791        100    121     15    403        100     16      3    147
   142        100    227    116    657        100    116     16    333        100     22      3    143
   143        100    221    116    635        100    118     16    330        100     21      3    372
   144        100    224    116    918        100    119     15    459        100     21      3    306
   145        100    218    116    589        100    122     16    453        100     17      3    139
   146        100    233    116    737        100    119     16    336        100     25      3    293
   147        100    224    116    674        100    122     16    473        100     18      3    153
   148        100    231    116    576        100    118     16    333        100     22      3    151
   149        100    223    116    695        100    119     16    472        100     20      3    151
   150        100    239    116    910        100    125     16    555        100     22      3    302
   151        100    228    116    875        100    119     16    335        100     20      3    167
   152        100    222    116    716        100    121     16    480        100     19      3    164
   153        100    230    116    851        100    121     16    399        100     18      3    187
   154        100    237    116    927        100    130     16    912        100     21      3    187
   155        100    229    116    765        100    118     16    342        100     23      3    299
   156        100    232    116    723        100    125     16    670        100     20      3    235
   157        100    239    116    652        100    128     16    529        100     22      3    169
   158        100    248    116   2706        100    138     16   2274        100     20      3    181
   159        100    226    116    718        100    118     16    323        100     22      3    232
   160        100    227    116    622        100    123     16    467        100     20      3    161
   161        100    237    116   1008        100    126     16    776        100     25      3    557
   162        100    225    116    785        100    119     16    398        100     17      3    140
   163        100    229    116    594        100    120     16    326        100     24      3    292
