# PING PONG measurements (in us) 
# Executed at: Wed Feb 02 15:16:27 2011
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
   114        100    184    141    547        100    126      6    527        100     21      4     95
   115        100    185    161    429        100    124      7    265        100     22      5     79
   116        100    188    161    547        100    127      7    232        100     23      5    326
   117        100    192    161    463        100    130      7    449        100     22      5     93
   118        100    185    161    362        100    124      7    194        100     23      5    193
   119        100    185    161    346        100    123      7    202        100     22      5     79
   120        100    190    161    507        100    127      7    290        100     24      5    233
   121        100    186    161    511        100    122      7    212        100     25      5    307
   122        100    190    161    437        100    124      7    307        100     25      5    214
   123        100    186    161    336        100    124      7    196        100     23      5    203
   124        100    187    161    661        100    126      7    236        100     21      5     95
   125        100    192    161    678        100    131      7    663        100     23      5    181
   126        100    187    161    448        100    124      7    202        100     23      5    131
   127        100    193    161    495        100    129      7    478        100     23      5    149
   128        100    188    161    627        100    130      7    361        100     22      5    151
   129        100    184    161    411        100    123      7    179        100     23      5    171
   130        100    193    161   1186        100    136      7   1169        100     21      5    198
   131        100    196    161    622        100    125      7    266        100     27      5    502
   132        100    183    161    386        100    125      7    214        100     21      5     80
   133        100    193    161    831        100    123      7    226        100     23      5    155
   134        100    186    161    423        100    128      7    387        100     21      5     79
   135        100    190    161    659        100    125      7    357        100     24      5    216
   136        100    185    161    387        100    126      7    190        100     21      5     92
   137        100    195    161    897        100    125      7    328        100     22      5     79
   138        100    199    161   1125        100    124      7    235        100     25      5    352
   139        100    280    161   2628        100    130      7    271        100     70      5   2488
   140        100    196    161    753        100    124      7    198        100     28      5    573
   141        100    234    161   2226        100    154      7   1707        100     23      5    111
   142        100    188    161    408        100    125      7    391        100     22      5     79
   143        100    186    161    740        100    128      7    479        100     21      5     79
   144        100    187    161    443        100    126      7    237        100     22      5     93
   145        100    186    161    524        100    125      7    252        100     21      5     80
   146        100    187    140    526        100    125      7    509        100     22      4     92
   147        100    161    141    359        100    108      6    183        100     19      4     69
