# PING PONG measurements (in us)
# Executed at: 13777.798443
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
   101        100 147.58    146    198        100  113.2    112    126          0      0      0      0
   102        100 150.56    146    442        100 116.62    112    406          0      0      0      0
   103        100 152.19    124    356        100 100.96     38    273          0      0      0      0
   104        100 152.09    144    332        100  72.06     40    216          0      0      0      0
   105        100 147.04    122    194        100  80.16     38    159          0      0      0      0
   106        100 147.39    146    172        100   40.9     40     53          0      0      0      0
   107        100  147.5    146    196        100  40.94     40     54          0      0      0      0
   108        100 148.35    146    231        100 104.72     40    197          0      0      0      0
   109        100 151.09    146    209        100 116.17    112    172          0      0      0      0
   110        100 148.41    145    199        100 113.49     39    164          0      0      0      0
   111        100 149.13    146    185        100 114.13    112    144          0      0      0      0
   112        100 154.77    127    478        100 111.26     40    218          0      0      0      0
   113        100 154.89    146    524        100 115.97    112    157          0      0      0      0
   114        100  148.8    123    201        100  85.23     38    158          0      0      0      0
   115        100 148.95    122    255        100  43.31     37    115          0      0      0      0
   116        100 150.04    122    223        100  70.94     37    127          0      0      0      0
   117        100 149.99    146    185        100  41.27     40     54          0      0      0      0
   118        100 149.98    145    182        100  68.48     40    135          0      0      0      0
   119        100 149.68    146    191        100 115.12    112    149          0      0      0      0
   120        100 148.81    146    189        100 114.57    112    155          0      0      0      0
   121        100 150.89    145    215        100  55.96     38    167          0      0      0      0
   122        100 148.95    137    184        100  85.61     38    145          0      0      0      0
   123        100 152.83    146    361        100  43.26     40    221          0      0      0      0
   124        100 149.54    145    196        100   93.8     40    132          0      0      0      0
   125        100  150.2    146    198        100 114.58    112    131          0      0      0      0
   126        100 148.78    144    198        100 113.72     38    163          0      0      0      0
   127        100 148.87    128    189        100   59.3     38    132          0      0      0      0
   128        100 149.06    146    181        100 114.65    112    147          0      0      0      0
   129        100 148.99    123    183        100 112.03     38    149          0      0      0      0
   130        100  153.1    146    396        100  59.47     40    304          0      0      0      0
   131        100 148.92    146    183        100  114.4    112    137          0      0      0      0
   132        100 149.97    146    194        100  115.5    112    159          0      0      0      0
   133        100 153.66    122    501        100   64.7     37    155          0      0      0      0
   134        100 149.32    144    207        100     50     40    113          0      0      0      0
   135        100 149.68    122    210        100   97.2     38    174          0      0      0      0
   136        100 150.35    146    217        100   41.3     40     53          0      0      0      0
   137        100 148.94    146    204        100  41.02     40     51          0      0      0      0
   138        100 150.82    144    258        100 109.51     40    151          0      0      0      0
   139        100 149.09    146    182        100 114.71    112    147          0      0      0      0
   140        100 154.21    146    521        100 119.43    113    484          0      0      0      0
   141        100 149.47    124    211        100 110.16     38    176          0      0      0      0
   142        100 149.14    146    213        100 114.77    112    178          0      0      0      0
   143        100 151.11    145    376        100    111     38    285          0      0      0      0
   144        100 149.53    146    192        100  41.23     40     52          0      0      0      0
   145        100 148.41    146    189        100  40.94     40     50          0      0      0      0
   146        100 149.52    146    201        100  93.71     40    147          0      0      0      0
