# PING PONG measurements (in us)
# Executed at: 14227.612297
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
   101        100 209.19    206    254        100  49.39     48     60          0      0      0      0
   102        100 210.88    204    246        100  140.5     48    186          0      0      0      0
   103        100 211.48    206    312        100 151.87     47    255          0      0      0      0
   104        100 209.02    206    222        100  96.15     46    164          0      0      0      0
   105        100  214.5    177    676        100  112.4     46    367          0      0      0      0
   106        100 212.86    178    298        100 110.51     46    203          0      0      0      0
   107        100 222.93    206    856        100 127.04     48    604          0      0      0      0
   108        100  209.2    178    275        100 147.45     46    216          0      0      0      0
   109        100 209.75    206    238        100  88.29     47    168          0      0      0      0
   110        100 212.79    206    361        100 153.76    150    192          0      0      0      0
   111        100 211.24    189    262        100 145.06     46    205          0      0      0      0
   112        100  215.3    177    595        100  76.75     46    533          0      0      0      0
   113        100 209.86    178    275        100 144.35     46    218          0      0      0      0
   114        100 213.68    206    584        100 157.03    151    514          0      0      0      0
   115        100  209.6    198    255        100 145.08     46    198          0      0      0      0
   116        100 209.73    205    252        100 118.44     46    194          0      0      0      0
   117        100 210.53    178    256        100 112.25     46    199          0      0      0      0
   118        100  209.8    206    251        100  49.38     48     59          0      0      0      0
   119        100 209.84    206    271        100  98.02     48    173          0      0      0      0
   120        100 210.61    188    262        100 150.58     46    205          0      0      0      0
   121        100 209.79    177    240        100 149.73     46    183          0      0      0      0
   122        100 214.15    207    466        100 155.64    150    407          0      0      0      0
   123        100 210.44    207    303        100 153.24    150    244          0      0      0      0
   124        100 210.25    187    256        100 145.98     46    199          0      0      0      0
   125        100 210.29    179    246        100 149.14     46    188          0      0      0      0
   126        100 209.03    178    273        100 100.61     46    162          0      0      0      0
   127        100 209.36    206    249        100 152.55    150    192          0      0      0      0
   128        100 210.66    206    280        100 153.41    150    224          0      0      0      0
   129        100 211.78    206    435        100 154.71    150    377          0      0      0      0
   130        100 210.54    207    260        100 152.85    151    191          0      0      0      0
   131        100 209.61    188    250        100 147.12     46    193          0      0      0      0
   132        100 214.41    177    598        100 130.45     45    536          0      0      0      0
   133        100 209.47    178    250        100  69.63     45    167          0      0      0      0
   134        100 209.89    177    304        100  86.23     45    237          0      0      0      0
   135        100 210.28    177    255        100  54.16     45    161          0      0      0      0
   136        100 209.25    178    284        100  54.18     45    162          0      0      0      0
   137        100 212.05    190    461        100  53.21     46    162          0      0      0      0
   138        100 210.21    186    253        100  50.57     45    148          0      0      0      0
   139        100 210.33    177    254        100 150.06     45    196          0      0      0      0
   140        100 209.03    206    252        100  49.25     48     62          0      0      0      0
   141        100 210.56    177    295        100  62.31     45    151          0      0      0      0
   142        100 213.59    177    409        100 128.23     46    348          0      0      0      0
   143        100 210.23    204    245        100 102.17     48    164          0      0      0      0
   144        100 220.15    190    548        100 140.43     46    487          0      0      0      0
   145        100 210.15    177    267        100 120.58     45    189          0      0      0      0
   146        100  209.4    177    296        100 125.43     45    239          0      0      0      0
   147        100 212.28    206    450        100  49.57     48     60          0      0      0      0
   148        100    212    177    274        100  84.04     45    186          0      0      0      0
   149        100 210.37    187    254        100 147.92     45    197          0      0      0      0
   150        100 210.13    206    253        100  153.8    150    197          0      0      0      0
   151        100 212.78    205    556        100  54.19     46    373          0      0      0      0
   152        100 214.93    206    599        100  49.44     48     63          0      0      0      0
   153        100 210.21    178    279        100 116.54     46    192          0      0      0      0
   154        100 209.75    206    278        100 100.92     48    173          0      0      0      0
   155        100  209.5    177    255        100  94.24     45    198          0      0      0      0
   156        100 210.97    177    267        100 104.69     45    202          0      0      0      0
   157        100 209.45    177    248        100  51.24     45    163          0      0      0      0
   158        100 210.46    205    252        100 151.75     49    196          0      0      0      0
   159        100 212.92    177    546        100 153.34     45    489          0      0      0      0
   160        100 211.25    178    310        100 147.33     46    251          0      0      0      0
   161        100 210.32    178    279        100 148.13     46    221          0      0      0      0
   162        100 210.27    206    250        100 152.94    150    186          0      0      0      0
   163        100 209.72    206    241        100 153.16    150    183          0      0      0      0
   164        100 209.57    206    250        100 152.75    150    164          0      0      0      0
   165        100 209.42    206    249        100  152.4    150    164          0      0      0      0
   166        100 212.47    177    444        100    148     46    386          0      0      0      0
   167        100  210.8    206    252        100 154.13    150    196          0      0      0      0
   168        100 209.83    206    241        100 153.55    151    183          0      0      0      0
   169        100  209.9    206    259        100 152.71    150    165          0      0      0      0
   170        100 209.05    177    239        100 143.32     45    182          0      0      0      0
   171        100 209.36    177    253        100  69.92     45    161          0      0      0      0
   172        100  213.6    178    512        100 102.63     46    200          0      0      0      0
   173        100 211.12    177    275        100  59.64     45    165          0      0      0      0
   174        100 212.24    177    474        100  74.66     45    164          0      0      0      0
   175        100 209.61    206    252        100  49.21     48     59          0      0      0      0
   176        100 209.58    177    257        100  80.41     45    179          0      0      0      0
   177        100 209.61    206    274        100  62.82     48    217          0      0      0      0
   178        100 209.91    206    246        100 152.88    150    170          0      0      0      0
   179        100 212.04    177    253        100 142.51     45    186          0      0      0      0
   180        100  235.9    182    966        100  91.55     46    894          0      0      0      0
   181        100 243.31    204   1717        100 130.62     48    308          0      0      0      0
   182        100 227.64    182    660        100  92.04     46    590          0      0      0      0
   184        100 663.01    177  44307        101 141.079     46   2006          0      0      0      0
   185        100 212.99    177    391        100 125.99     46    175          0      0      0      0
   186        100 209.44    177    273        100  67.65     46    174          0      0      0      0
   187        100 212.96    205    611        100  49.73     48     84          0      0      0      0
   188        100  214.9    206    641        100 143.74     48    215          0      0      0      0
   189        100 209.06    177    258        100  95.45     45    186          0      0      0      0
   190        100 214.54    205    601        100   49.7     48     70          0      0      0      0
   191        100 210.42    203    366        100 101.72     48    163          0      0      0      0
   192        100  209.2    206    258        100 152.51    150    191          0      0      0      0
   193        100 211.06    204    279        100 149.61     46    223          0      0      0      0
   194        100 208.75    203    231        100  96.97     46    171          0      0      0      0
   195        100 212.45    204    474        100 151.63     49    416          0      0      0      0
   196        100 208.75    206    264        100 152.91    150    209          0      0      0      0
   197        100 210.27    177    377        100 143.12     45    319          0      0      0      0
   198        100 209.22    205    276        100  95.77     48    188          0      0      0      0
   199        100 209.55    205    240        100 152.61    150    182          0      0      0      0
   200        100 209.53    177    302        100  85.66     46    217          0      0      0      0
